day,hour,seat_loc,성별,나이,행동,복장,이어폰여부,내리는역,좌석위치,연령대,count
2017-08-08,07:48,2,여자,40,책읽기,세미정장,이어폰:X,강남역,중앙,중년,1
2017-08-08,07:48,3,남자,50,핸드폰보기,평상복,이어폰:X,강남역,중앙,장년,1
2017-08-08,07:48,4,남자,40,핸드폰보기,평상복,이어폰:O,강남역,중앙,중년,1
2017-08-08,07:48,5,남자,60,핸드폰보기,세미정장,이어폰:X,강남역,우측:사이드,장년,1
2017-08-08,07:48,6,여자,20,핸드폰보기,평상복,이어폰:O,강남역,우측:사이드,청년,1
2017-07-19,08:20,0,여자,20,핸드폰보기,평상복,이어폰:O,판교/정자역,좌측:사이드,청년,1
2017-07-19,08:20,1,여자,20,핸드폰보기,평상복,이어폰:O,강남역,좌측:사이드,청년,1
2017-07-19,08:20,2,여자,20,잠자는중,평상복,이어폰:X,강남역,중앙,청년,1
2017-07-19,08:20,3,남자,40,잠자는중,정장,이어폰:X,강남역,중앙,중년,1
2017-07-19,08:20,4,여자,30,잠자는중,정장,이어폰:X,강남역,중앙,중년,1
2017-07-19,08:20,5,여자,30,핸드폰보기,평상복,이어폰:O,강남역,우측:사이드,중년,1
2017-07-19,08:20,6,여자,40,생각중,세미정장,이어폰:O,강남역,우측:사이드,중년,1
2017-09-14,07:24,0,남자,30,잠자는중,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-09-14,07:24,1,남자,30,핸드폰보기,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-09-14,07:24,2,여자,40,핸드폰보기,평상복,이어폰:X,강남역,중앙,중년,1
2017-09-14,07:24,3,여자,20,핸드폰보기,평상복,이어폰:O,강남역,중앙,청년,1
2017-09-14,07:24,4,여자,40,핸드폰보기,평상복,이어폰:X,강남역,중앙,중년,1
2017-09-14,07:24,5,여자,60,생각중,평상복,이어폰:X,강남역,우측:사이드,장년,1
2017-09-14,07:24,6,남자,50,생각중,세미정장,이어폰:X,판교/정자역,우측:사이드,장년,1
2017-07-14,08:25,0,남자,30,핸드폰보기,정장,이어폰:X,강남역,좌측:사이드,중년,1
2017-07-14,08:25,1,남자,40,핸드폰보기,세미정장,이어폰:O,판교/정자역,좌측:사이드,중년,1
2017-07-14,08:25,2,남자,40,핸드폰보기,평상복,이어폰:X,판교/정자역,중앙,중년,1
2017-07-14,08:25,3,여자,50,잠자는중,평상복,이어폰:X,강남역,중앙,장년,1
2017-07-14,08:25,4,남자,30,잠자는중,평상복,이어폰:X,강남역,중앙,중년,1
2017-07-14,08:25,5,여자,30,핸드폰보기,세미정장,이어폰:O,강남역,우측:사이드,중년,1
2017-07-14,08:25,6,여자,30,핸드폰보기,평상복,이어폰:X,강남역,우측:사이드,중년,1
2017-08-29,08:35,0,남자,40,잠자는중,정장,이어폰:O,강남역,좌측:사이드,중년,1
2017-08-29,08:35,1,여자,40,핸드폰보기,세미정장,이어폰:X,강남역,좌측:사이드,중년,1
2017-08-29,08:35,2,남자,40,잠자는중,세미정장,이어폰:O,강남역,중앙,중년,1
2017-08-29,08:35,3,여자,30,잠자는중,평상복,이어폰:X,강남역,중앙,중년,1
2017-08-29,08:35,4,남자,40,핸드폰보기,평상복,이어폰:O,강남역,중앙,중년,1
2017-08-29,08:35,5,여자,20,핸드폰보기,평상복,이어폰:X,강남역,우측:사이드,청년,1
2017-08-29,08:35,6,남자,40,생각중,세미정장,이어폰:O,강남역,우측:사이드,중년,1
2017-09-08,07:45,0,여자,30,잠자는중,평상복,이어폰:X,강남역,좌측:사이드,중년,1
2017-09-08,07:45,1,여자,30,핸드폰보기,평상복,이어폰:X,판교/정자역,좌측:사이드,중년,1
2017-09-08,07:45,2,남자,30,잠자는중,평상복,이어폰:X,강남역,중앙,중년,1
2017-09-08,07:45,3,남자,30,핸드폰보기,평상복,이어폰:O,판교/정자역,중앙,중년,1
2017-09-08,07:45,4,여자,40,핸드폰보기,평상복,이어폰:O,강남역,중앙,중년,1
2017-09-08,07:45,5,남자,30,잠자는중,평상복,이어폰:O,강남역,우측:사이드,중년,1
2017-09-08,07:45,6,여자,30,잠자는중,세미정장,이어폰:O,강남역,우측:사이드,중년,1
2017-08-25,07:52,0,남자,40,잠자는중,평상복,이어폰:X,강남역,좌측:사이드,중년,1
2017-08-25,07:52,1,남자,40,잠자는중,평상복,이어폰:X,판교/정자역,좌측:사이드,중년,1
2017-08-25,07:52,2,여자,40,잠자는중,평상복,이어폰:X,강남역,중앙,중년,1
2017-08-25,07:52,3,남자,30,핸드폰보기,평상복,이어폰:X,강남역,중앙,중년,1
2017-08-25,07:52,4,남자,60,핸드폰보기,세미정장,이어폰:O,강남역,중앙,장년,1
2017-08-25,07:52,5,남자,30,핸드폰보기,정장,이어폰:O,강남역,우측:사이드,중년,1
2017-08-25,07:52,6,여자,40,핸드폰보기,평상복,이어폰:O,판교/정자역,우측:사이드,중년,1
2017-07-31,08:25,0,남자,30,생각중,평상복,이어폰:O,판교/정자역,좌측:사이드,중년,1
2017-07-31,08:25,1,남자,40,책읽기,평상복,이어폰:X,판교/정자역,좌측:사이드,중년,1
2017-07-31,08:25,2,여자,30,핸드폰보기,평상복,이어폰:O,강남역,중앙,중년,1
2017-07-31,08:25,3,남자,40,핸드폰보기,세미정장,이어폰:X,강남역,중앙,중년,1
2017-07-31,08:25,4,여자,30,핸드폰보기,평상복,이어폰:O,강남역,중앙,중년,1
2017-07-31,08:25,5,남자,40,핸드폰보기,평상복,이어폰:O,강남역,우측:사이드,중년,1
2017-07-31,08:25,6,여자,20,핸드폰보기,평상복,이어폰:O,강남역,우측:사이드,청년,1
2017-08-10,07:35,0,남자,20,생각중,세미정장,이어폰:X,판교/정자역,좌측:사이드,청년,1
2017-08-10,07:35,1,남자,20,생각중,평상복,이어폰:X,판교/정자역,좌측:사이드,청년,1
2017-08-10,07:35,2,여자,40,잠자는중,평상복,이어폰:X,강남역,중앙,중년,1
2017-08-10,07:35,3,남자,40,핸드폰보기,평상복,이어폰:X,강남역,중앙,중년,1
2017-08-10,07:35,4,남자,40,핸드폰보기,세미정장,이어폰:X,강남역,중앙,중년,1
2017-08-10,07:35,5,여자,30,핸드폰보기,세미정장,이어폰:X,강남역,우측:사이드,중년,1
2017-08-10,07:35,6,남자,30,핸드폰보기,세미정장,이어폰:O,강남역,우측:사이드,중년,1
2017-09-22,07:18,0,여자,40,핸드폰보기,평상복,이어폰:X,판교/정자역,좌측:사이드,중년,1
2017-09-22,07:18,1,남자,40,핸드폰보기,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-09-22,07:18,2,남자,40,잠자는중,평상복,이어폰:X,강남역,중앙,중년,1
2017-09-22,07:18,3,여자,30,핸드폰보기,평상복,이어폰:O,강남역,중앙,중년,1
2017-09-22,07:18,4,여자,20,생각중,평상복,이어폰:O,강남역,중앙,청년,1
2017-09-22,07:18,5,남자,50,핸드폰보기,세미정장,이어폰:O,강남역,우측:사이드,장년,1
2017-09-22,07:18,6,남자,50,핸드폰보기,정장,이어폰:X,강남역,우측:사이드,장년,1
2017-09-29,08:11,0,여자,30,핸드폰보기,세미정장,이어폰:O,판교/정자역,좌측:사이드,중년,1
2017-09-29,08:11,1,여자,30,핸드폰보기,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-09-29,08:11,2,남자,20,잠자는중,정장,이어폰:X,강남역,중앙,청년,1
2017-09-29,08:11,3,남자,40,핸드폰보기,정장,이어폰:O,강남역,중앙,중년,1
2017-09-29,08:11,4,남자,40,핸드폰보기,평상복,이어폰:X,강남역,중앙,중년,1
2017-09-29,08:11,5,남자,50,잠자는중,세미정장,이어폰:O,강남역,우측:사이드,장년,1
2017-09-29,08:11,6,남자,30,핸드폰보기,평상복,이어폰:X,판교/정자역,우측:사이드,중년,1
2017-07-25,07:43,0,여자,40,토크,세미정장,이어폰:X,강남역,좌측:사이드,중년,1
2017-07-25,07:43,1,남자,50,토크,세미정장,이어폰:X,강남역,좌측:사이드,장년,1
2017-07-25,07:43,2,남자,40,잠자는중,세미정장,이어폰:X,강남역,중앙,중년,1
2017-07-25,07:43,3,남자,40,잠자는중,평상복,이어폰:X,판교/정자역,중앙,중년,1
2017-07-25,07:43,4,남자,30,핸드폰보기,평상복,이어폰:O,강남역,중앙,중년,1
2017-07-25,07:43,5,남자,30,잠자는중,정장,이어폰:O,강남역,우측:사이드,중년,1
